head,row,row_sum_actual,row_sum_expected,row_max_abs_err,row_fail_count,row_pass
0,0,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0,1
0,1,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0,1
0,2,1.0019531250e+00,1.0000000000e+00,1.9531250000e-03,0,1
0,3,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0,1
0,4,1.0009765625e+00,1.0009765625e+00,0.0000000000e+00,0,1
0,5,1.0019531250e+00,1.0019531250e+00,0.0000000000e+00,0,1
0,6,9.9804687500e-01,9.9902343750e-01,9.7656250000e-04,0,1
0,7,1.0000000000e+00,1.0009765625e+00,9.7656250000e-04,0,1
0,8,1.0019531250e+00,1.0004882812e+00,4.8828125000e-04,0,1
0,9,1.0009765625e+00,1.0000000000e+00,4.8828125000e-04,0,1
0,10,9.9902343750e-01,1.0000000000e+00,4.8828125000e-04,0,1
0,11,1.0019531250e+00,1.0000000000e+00,4.8828125000e-04,0,1
0,12,1.0029296875e+00,1.0004882812e+00,4.8828125000e-04,0,1
0,13,9.9804687500e-01,9.9902343750e-01,4.8828125000e-04,0,1
0,14,1.0034179688e+00,1.0004882812e+00,4.8828125000e-04,0,1
0,15,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0,1
0,16,1.0002441406e+00,1.0002441406e+00,2.4414062500e-04,0,1
0,17,1.0019531250e+00,9.9975585938e-01,2.4414062500e-04,0,1
0,18,1.0019531250e+00,9.9975585938e-01,2.4414062500e-04,0,1
0,19,1.0009765625e+00,1.0007324219e+00,2.4414062500e-04,0,1
0,20,9.9975585938e-01,9.9975585938e-01,0.0000000000e+00,0,1
0,21,9.9902343750e-01,9.9902343750e-01,0.0000000000e+00,0,1
0,22,9.9951171875e-01,9.9951171875e-01,0.0000000000e+00,0,1
0,23,1.0019531250e+00,1.0004882812e+00,2.4414062500e-04,0,1
0,24,1.0009765625e+00,1.0004882812e+00,2.4414062500e-04,0,1
0,25,1.0029296875e+00,1.0002441406e+00,2.4414062500e-04,0,1
0,26,1.0019531250e+00,1.0007324219e+00,2.4414062500e-04,0,1
0,27,9.9804687500e-01,9.9853515625e-01,2.4414062500e-04,0,1
0,28,9.9829101562e-01,9.9853515625e-01,2.4414062500e-04,0,1
0,29,9.9609375000e-01,1.0007324219e+00,2.4414062500e-04,0,1
0,30,9.9902343750e-01,9.9902343750e-01,0.0000000000e+00,0,1
0,31,1.0000000000e+00,9.9987792969e-01,1.2207031250e-04,0,1
0,32,9.9902343750e-01,9.9938964844e-01,1.2207031250e-04,0,1
0,33,1.0002441406e+00,1.0000000000e+00,1.2207031250e-04,0,1
0,34,9.9975585938e-01,1.0000000000e+00,1.2207031250e-04,0,1
0,35,1.0019531250e+00,1.0002441406e+00,1.2207031250e-04,0,1
0,36,1.0026855469e+00,9.9975585938e-01,1.2207031250e-04,0,1
0,37,1.0019531250e+00,1.0000000000e+00,1.2207031250e-04,0,1
0,38,9.9975585938e-01,9.9987792969e-01,1.2207031250e-04,0,1
0,39,1.0009765625e+00,1.0007324219e+00,1.2207031250e-04,0,1
0,40,1.0009765625e+00,1.0007324219e+00,1.2207031250e-04,0,1
0,41,9.9975585938e-01,9.9975585938e-01,0.0000000000e+00,0,1
0,42,1.0018310547e+00,1.0003662109e+00,2.4414062500e-04,0,1
0,43,9.9902343750e-01,9.9963378906e-01,1.2207031250e-04,0,1
0,44,9.9975585938e-01,9.9975585938e-01,0.0000000000e+00,0,1
0,45,9.9951171875e-01,9.9975585938e-01,1.2207031250e-04,0,1
0,46,9.9829101562e-01,9.9975585938e-01,1.2207031250e-04,0,1
0,47,1.0019531250e+00,1.0006103516e+00,1.2207031250e-04,0,1
0,48,9.9890136719e-01,9.9914550781e-01,1.2207031250e-04,0,1
0,49,1.0009765625e+00,1.0008544922e+00,1.2207031250e-04,0,1
0,50,1.0023193359e+00,1.0009765625e+00,1.2207031250e-04,0,1
0,51,1.0029296875e+00,1.0000000000e+00,1.2207031250e-04,0,1
0,52,9.9633789062e-01,1.0002441406e+00,1.2207031250e-04,0,1
0,53,1.0019531250e+00,1.0009765625e+00,1.2207031250e-04,0,1
0,54,9.9890136719e-01,1.0002441406e+00,2.4414062500e-04,0,1
0,55,9.9804687500e-01,9.9890136719e-01,1.2207031250e-04,0,1
0,56,1.0019531250e+00,1.0014648438e+00,1.2207031250e-04,0,1
0,57,1.0026855469e+00,9.9914550781e-01,1.2207031250e-04,0,1
0,58,1.0010986328e+00,1.0009765625e+00,1.2207031250e-04,0,1
0,59,9.9609375000e-01,9.9963378906e-01,1.2207031250e-04,0,1
0,60,9.9780273438e-01,9.9902343750e-01,1.2207031250e-04,0,1
0,61,9.9902343750e-01,9.9951171875e-01,1.2207031250e-04,0,1
0,62,9.9975585938e-01,9.9975585938e-01,0.0000000000e+00,0,1
0,63,1.0000000000e+00,9.9969482422e-01,6.1035156250e-05,0,1
0,64,9.9975585938e-01,1.0003051758e+00,6.1035156250e-05,0,1
0,65,9.9902343750e-01,9.9957275391e-01,6.1035156250e-05,0,1
0,66,9.9761962891e-01,1.0000000000e+00,1.8310546875e-04,0,1
0,67,1.0002441406e+00,1.0000610352e+00,6.1035156250e-05,0,1
0,68,9.9908447266e-01,9.9993896484e-01,1.8310546875e-04,0,1
0,69,9.9975585938e-01,1.0001220703e+00,6.1035156250e-05,0,1
0,70,1.0007934570e+00,1.0004882812e+00,1.8310546875e-04,0,1
0,71,1.0019531250e+00,1.0003051758e+00,6.1035156250e-05,0,1
0,72,9.9804687500e-01,9.9987792969e-01,6.1035156250e-05,0,1
0,73,1.0007324219e+00,1.0000000000e+00,1.8310546875e-04,0,1
0,74,9.9774169922e-01,9.9993896484e-01,1.2207031250e-04,0,1
0,75,1.0019531250e+00,1.0000610352e+00,6.1035156250e-05,0,1
0,76,1.0010375977e+00,1.0006713867e+00,6.1035156250e-05,0,1
0,77,9.9975585938e-01,9.9981689453e-01,6.1035156250e-05,0,1
0,78,1.0029296875e+00,9.9920654297e-01,6.1035156250e-05,0,1
0,79,1.0009765625e+00,1.0003662109e+00,6.1035156250e-05,0,1
0,80,9.9865722656e-01,9.9938964844e-01,6.1035156250e-05,0,1
0,81,1.0009765625e+00,1.0005493164e+00,6.1035156250e-05,0,1
0,82,1.0030517578e+00,9.9969482422e-01,6.1035156250e-05,0,1
0,83,9.9975585938e-01,1.0000610352e+00,6.1035156250e-05,0,1
0,84,1.0012817383e+00,1.0004882812e+00,6.1035156250e-05,0,1
0,85,9.9731445312e-01,1.0000610352e+00,6.1035156250e-05,0,1
0,86,9.9829101562e-01,9.9938964844e-01,6.1035156250e-05,0,1
0,87,9.9890136719e-01,9.9969482422e-01,6.1035156250e-05,0,1
0,88,9.9951171875e-01,9.9957275391e-01,6.1035156250e-05,0,1
0,89,9.9975585938e-01,9.9981689453e-01,6.1035156250e-05,0,1
0,90,9.9975585938e-01,9.9987792969e-01,6.1035156250e-05,0,1
0,91,9.9951171875e-01,9.9957275391e-01,6.1035156250e-05,0,1
0,92,9.9902343750e-01,9.9926757812e-01,6.1035156250e-05,0,1
0,93,9.9829101562e-01,9.9902343750e-01,6.1035156250e-05,0,1
0,94,9.9731445312e-01,9.9957275391e-01,6.1035156250e-05,0,1
0,95,9.9609375000e-01,1.0004882812e+00,6.1035156250e-05,0,1
0,96,1.0005493164e+00,1.0004882812e+00,6.1035156250e-05,0,1
0,97,9.9890136719e-01,9.9945068359e-01,6.1035156250e-05,0,1
0,98,1.0030517578e+00,9.9975585938e-01,6.1035156250e-05,0,1
0,99,1.0009765625e+00,1.0007324219e+00,6.1035156250e-05,0,1
0,100,9.9865722656e-01,9.9877929688e-01,6.1035156250e-05,0,1
0,101,9.9609375000e-01,1.0012207031e+00,6.1035156250e-05,0,1
0,102,9.9957275391e-01,9.9963378906e-01,6.1035156250e-05,0,1
0,103,1.0029296875e+00,1.0003662109e+00,6.1035156250e-05,0,1
0,104,9.9975585938e-01,9.9963378906e-01,6.1035156250e-05,0,1
0,105,9.9633789062e-01,1.0003662109e+00,6.1035156250e-05,0,1
0,106,9.9920654297e-01,9.9945068359e-01,6.1035156250e-05,0,1
0,107,1.0019531250e+00,1.0012817383e+00,6.1035156250e-05,0,1
0,108,9.9792480469e-01,9.9877929688e-01,6.1035156250e-05,0,1
0,109,1.0003662109e+00,1.0001220703e+00,6.1035156250e-05,0,1
0,110,1.0026855469e+00,1.0009765625e+00,6.1035156250e-05,0,1
0,111,9.9804687500e-01,9.9829101562e-01,6.1035156250e-05,0,1
0,112,1.0000610352e+00,1.0000610352e+00,0.0000000000e+00,0,1
0,113,1.0019531250e+00,1.0017700195e+00,6.1035156250e-05,0,1
0,114,9.9670410156e-01,9.9981689453e-01,6.1035156250e-05,0,1
0,115,9.9829101562e-01,9.9841308594e-01,6.1035156250e-05,0,1
0,116,9.9975585938e-01,9.9981689453e-01,6.1035156250e-05,0,1
0,117,1.0010986328e+00,1.0010986328e+00,0.0000000000e+00,0,1
0,118,1.0021972656e+00,1.0012817383e+00,6.1035156250e-05,0,1
0,119,9.9609375000e-01,1.0007934570e+00,6.1035156250e-05,0,1
0,120,1.0043945312e+00,9.9847412109e-01,6.1035156250e-05,0,1
0,121,9.9780273438e-01,9.9890136719e-01,6.1035156250e-05,0,1
0,122,9.9847412109e-01,9.9847412109e-01,0.0000000000e+00,0,1
0,123,9.9902343750e-01,9.9908447266e-01,6.1035156250e-05,0,1
0,124,9.9945068359e-01,9.9945068359e-01,0.0000000000e+00,0,1
0,125,9.9975585938e-01,9.9975585938e-01,0.0000000000e+00,0,1
0,126,9.9993896484e-01,9.9993896484e-01,0.0000000000e+00,0,1
0,127,1.0000000000e+00,9.9996948242e-01,3.0517578125e-05,0,1
1,0,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0,1
1,1,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0,1
1,2,1.0019531250e+00,1.0000000000e+00,1.9531250000e-03,0,1
1,3,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0,1
1,4,1.0009765625e+00,1.0009765625e+00,0.0000000000e+00,0,1
1,5,1.0019531250e+00,1.0000000000e+00,9.7656250000e-04,0,1
1,6,9.9804687500e-01,9.9902343750e-01,9.7656250000e-04,0,1
1,7,1.0000000000e+00,9.9951171875e-01,4.8828125000e-04,0,1
1,8,1.0019531250e+00,1.0000000000e+00,4.8828125000e-04,0,1
1,9,1.0009765625e+00,1.0000000000e+00,4.8828125000e-04,0,1
1,10,9.9902343750e-01,9.9951171875e-01,4.8828125000e-04,0,1
1,11,1.0019531250e+00,1.0004882812e+00,4.8828125000e-04,0,1
1,12,1.0029296875e+00,1.0000000000e+00,4.8828125000e-04,0,1
1,13,9.9804687500e-01,9.9853515625e-01,4.8828125000e-04,0,1
1,14,1.0034179688e+00,1.0000000000e+00,4.8828125000e-04,0,1
1,15,1.0000000000e+00,9.9975585938e-01,2.4414062500e-04,0,1
1,16,1.0002441406e+00,1.0000000000e+00,2.4414062500e-04,0,1
1,17,1.0019531250e+00,1.0002441406e+00,2.4414062500e-04,0,1
1,18,1.0019531250e+00,1.0002441406e+00,2.4414062500e-04,0,1
1,19,1.0009765625e+00,1.0007324219e+00,2.4414062500e-04,0,1
1,20,9.9975585938e-01,9.9951171875e-01,2.4414062500e-04,0,1
1,21,9.9902343750e-01,9.9926757812e-01,2.4414062500e-04,0,1
1,22,9.9951171875e-01,9.9951171875e-01,0.0000000000e+00,0,1
1,23,1.0019531250e+00,1.0007324219e+00,2.4414062500e-04,0,1
1,24,1.0009765625e+00,1.0007324219e+00,2.4414062500e-04,0,1
1,25,1.0029296875e+00,1.0007324219e+00,2.4414062500e-04,0,1
1,26,1.0004882812e+00,1.0004882812e+00,2.4414062500e-04,0,1
1,27,9.9804687500e-01,9.9853515625e-01,2.4414062500e-04,0,1
1,28,9.9829101562e-01,9.9877929688e-01,2.4414062500e-04,0,1
1,29,9.9609375000e-01,1.0007324219e+00,2.4414062500e-04,0,1
1,30,9.9902343750e-01,9.9902343750e-01,0.0000000000e+00,0,1
1,31,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0,1
1,32,9.9902343750e-01,9.9975585938e-01,1.2207031250e-04,0,1
1,33,1.0002441406e+00,1.0000000000e+00,1.2207031250e-04,0,1
1,34,9.9926757812e-01,1.0000000000e+00,3.6621093750e-04,0,1
1,35,1.0019531250e+00,1.0001220703e+00,1.2207031250e-04,0,1
1,36,1.0026855469e+00,9.9987792969e-01,1.2207031250e-04,0,1
1,37,1.0019531250e+00,1.0001220703e+00,1.2207031250e-04,0,1
1,38,9.9975585938e-01,9.9963378906e-01,1.2207031250e-04,0,1
1,39,1.0009765625e+00,1.0002441406e+00,1.2207031250e-04,0,1
1,40,1.0009765625e+00,1.0003662109e+00,1.2207031250e-04,0,1
1,41,9.9975585938e-01,9.9963378906e-01,1.2207031250e-04,0,1
1,42,9.9731445312e-01,1.0000000000e+00,1.2207031250e-04,0,1
1,43,9.9902343750e-01,9.9938964844e-01,1.2207031250e-04,0,1
1,44,9.9975585938e-01,9.9975585938e-01,0.0000000000e+00,0,1
1,45,9.9951171875e-01,1.0000000000e+00,1.2207031250e-04,0,1
1,46,9.9829101562e-01,9.9938964844e-01,1.2207031250e-04,0,1
1,47,1.0019531250e+00,1.0007324219e+00,1.2207031250e-04,0,1
1,48,9.9890136719e-01,9.9938964844e-01,1.2207031250e-04,0,1
1,49,1.0009765625e+00,1.0009765625e+00,0.0000000000e+00,0,1
1,50,1.0023193359e+00,1.0014648438e+00,1.2207031250e-04,0,1
1,51,1.0029296875e+00,1.0001220703e+00,1.2207031250e-04,0,1
1,52,9.9633789062e-01,9.9987792969e-01,1.2207031250e-04,0,1
1,53,1.0019531250e+00,1.0014648438e+00,1.2207031250e-04,0,1
1,54,1.0003662109e+00,1.0003662109e+00,0.0000000000e+00,0,1
1,55,9.9804687500e-01,9.9865722656e-01,1.2207031250e-04,0,1
1,56,1.0019531250e+00,1.0013427734e+00,1.2207031250e-04,0,1
1,57,9.9829101562e-01,9.9902343750e-01,1.2207031250e-04,0,1
1,58,1.0010986328e+00,1.0010986328e+00,0.0000000000e+00,0,1
1,59,9.9609375000e-01,1.0008544922e+00,1.2207031250e-04,0,1
1,60,9.9780273438e-01,9.9890136719e-01,1.2207031250e-04,0,1
1,61,9.9902343750e-01,9.9938964844e-01,1.2207031250e-04,0,1
1,62,9.9975585938e-01,9.9975585938e-01,0.0000000000e+00,0,1
1,63,1.0000000000e+00,9.9993896484e-01,6.1035156250e-05,0,1
1,64,9.9975585938e-01,1.0002441406e+00,6.1035156250e-05,0,1
1,65,9.9902343750e-01,1.0000610352e+00,6.1035156250e-05,0,1
1,66,9.9780273438e-01,1.0003051758e+00,6.1035156250e-05,0,1
1,67,1.0002441406e+00,1.0000610352e+00,6.1035156250e-05,0,1
1,68,1.0018310547e+00,9.9981689453e-01,1.2207031250e-04,0,1
1,69,9.9926757812e-01,9.9987792969e-01,1.8310546875e-04,0,1
1,70,1.0007934570e+00,1.0001831055e+00,1.2207031250e-04,0,1
1,71,1.0019531250e+00,1.0004272461e+00,6.1035156250e-05,0,1
1,72,1.0001220703e+00,1.0002441406e+00,1.2207031250e-04,0,1
1,73,1.0009765625e+00,1.0001220703e+00,1.8310546875e-04,0,1
1,74,9.9792480469e-01,9.9969482422e-01,6.1035156250e-05,0,1
1,75,1.0019531250e+00,9.9993896484e-01,6.1035156250e-05,0,1
1,76,1.0008544922e+00,1.0003051758e+00,1.2207031250e-04,0,1
1,77,9.9975585938e-01,9.9981689453e-01,6.1035156250e-05,0,1
1,78,1.0029296875e+00,9.9945068359e-01,6.1035156250e-05,0,1
1,79,1.0009765625e+00,1.0003051758e+00,6.1035156250e-05,0,1
1,80,9.9865722656e-01,9.9951171875e-01,6.1035156250e-05,0,1
1,81,1.0009765625e+00,1.0003051758e+00,6.1035156250e-05,0,1
1,82,1.0030517578e+00,9.9951171875e-01,6.1035156250e-05,0,1
1,83,9.9957275391e-01,9.9987792969e-01,1.2207031250e-04,0,1
1,84,1.0012817383e+00,1.0003051758e+00,6.1035156250e-05,0,1
1,85,9.9719238281e-01,1.0003051758e+00,1.2207031250e-04,0,1
1,86,9.9829101562e-01,9.9920654297e-01,6.1035156250e-05,0,1
1,87,9.9890136719e-01,9.9951171875e-01,6.1035156250e-05,0,1
1,88,9.9951171875e-01,9.9957275391e-01,6.1035156250e-05,0,1
1,89,9.9975585938e-01,9.9987792969e-01,6.1035156250e-05,0,1
1,90,9.9938964844e-01,9.9981689453e-01,6.1035156250e-05,0,1
1,91,9.9951171875e-01,9.9957275391e-01,6.1035156250e-05,0,1
1,92,9.9902343750e-01,9.9926757812e-01,6.1035156250e-05,0,1
1,93,9.9829101562e-01,9.9926757812e-01,6.1035156250e-05,0,1
1,94,9.9731445312e-01,9.9975585938e-01,6.1035156250e-05,0,1
1,95,9.9609375000e-01,1.0004272461e+00,6.1035156250e-05,0,1
1,96,1.0005493164e+00,1.0005493164e+00,0.0000000000e+00,0,1
1,97,9.9890136719e-01,9.9957275391e-01,6.1035156250e-05,0,1
1,98,1.0030517578e+00,1.0000610352e+00,6.1035156250e-05,0,1
1,99,1.0009765625e+00,1.0008544922e+00,6.1035156250e-05,0,1
1,100,9.9865722656e-01,9.9896240234e-01,6.1035156250e-05,0,1
1,101,9.9609375000e-01,1.0005493164e+00,6.1035156250e-05,0,1
1,102,9.9957275391e-01,9.9963378906e-01,6.1035156250e-05,0,1
1,103,1.0021972656e+00,1.0003662109e+00,1.2207031250e-04,0,1
1,104,9.9975585938e-01,9.9981689453e-01,6.1035156250e-05,0,1
1,105,9.9633789062e-01,1.0007324219e+00,6.1035156250e-05,0,1
1,106,9.9920654297e-01,9.9951171875e-01,6.1035156250e-05,0,1
1,107,1.0019531250e+00,1.0015869141e+00,6.1035156250e-05,0,1
1,108,9.9792480469e-01,9.9877929688e-01,6.1035156250e-05,0,1
1,109,1.0000000000e+00,1.0001220703e+00,1.2207031250e-04,0,1
1,110,1.0025634766e+00,1.0009765625e+00,6.1035156250e-05,0,1
1,111,9.9804687500e-01,9.9847412109e-01,6.1035156250e-05,0,1
1,112,1.0000610352e+00,1.0000610352e+00,0.0000000000e+00,0,1
1,113,1.0019531250e+00,1.0014648438e+00,6.1035156250e-05,0,1
1,114,9.9670410156e-01,9.9981689453e-01,6.1035156250e-05,0,1
1,115,9.9829101562e-01,9.9853515625e-01,6.1035156250e-05,0,1
1,116,9.9951171875e-01,9.9963378906e-01,6.1035156250e-05,0,1
1,117,1.0010986328e+00,1.0010375977e+00,6.1035156250e-05,0,1
1,118,1.0021972656e+00,1.0014038086e+00,6.1035156250e-05,0,1
1,119,9.9609375000e-01,1.0003051758e+00,6.1035156250e-05,0,1
1,120,1.0043945312e+00,9.9902343750e-01,6.1035156250e-05,0,1
1,121,9.9780273438e-01,9.9859619141e-01,6.1035156250e-05,0,1
1,122,9.9847412109e-01,9.9859619141e-01,6.1035156250e-05,0,1
1,123,9.9902343750e-01,9.9902343750e-01,0.0000000000e+00,0,1
1,124,9.9945068359e-01,9.9951171875e-01,6.1035156250e-05,0,1
1,125,9.9975585938e-01,9.9975585938e-01,0.0000000000e+00,0,1
1,126,9.9993896484e-01,9.9993896484e-01,0.0000000000e+00,0,1
